budget,size_eval,hidden_size,epochs,learning_rate,total_time,absolute_error
100,10,10,300,0.01,0.8567538261413574,0.0
100,10,10,300,0.01,0.8785264492034912,0.0
100,10,10,300,0.01,0.8599634170532227,0.0
100,10,10,300,0.01,0.9036893844604492,0.0
100,10,10,300,0.01,2.818476438522339,0.0
100,10,10,300,0.01,0.831376314163208,0.0
100,10,10,300,0.01,0.8436911106109619,0.0
100,10,10,300,0.01,0.8355834484100342,0.0
100,10,10,300,0.01,0.8413290977478027,0.0
100,10,10,300,0.01,0.829491138458252,0.0
100,10,20,300,0.01,0.8408064842224121,0.0
100,10,20,300,0.01,0.8537147045135498,0.0
100,10,20,300,0.01,0.8336813449859619,4.08528439707e-06
100,10,20,300,0.01,0.8512518405914307,0.0
100,10,20,300,0.01,0.828502893447876,0.0
100,10,20,300,0.01,0.8555357456207275,0.0
100,10,20,300,0.01,0.824519157409668,0.0
100,10,20,300,0.01,1.328157663345337,0.0
100,10,20,300,0.01,1.2420523166656494,0.0
100,10,20,300,0.01,0.8671655654907227,0.0
100,10,30,300,0.01,0.9869887828826904,0.0
100,10,30,300,0.01,0.863163948059082,0.0
100,10,30,300,0.01,0.860607385635376,0.0
100,10,30,300,0.01,0.8654916286468506,0.0
100,10,30,300,0.01,0.8452498912811279,0.0
100,10,30,300,0.01,0.8283023834228516,4.08528439707e-06
100,10,30,300,0.01,0.8365645408630371,0.0
100,10,30,300,0.01,0.8494460582733154,0.0
100,10,30,300,0.01,0.8558976650238037,0.0
100,10,30,300,0.01,0.8393328189849854,0.0
100,10,40,300,0.01,0.8508820533752441,0.0
100,10,40,300,0.01,0.9304244518280029,0.0
100,10,40,300,0.01,0.8396174907684326,0.0
100,10,40,300,0.01,0.8492577075958252,0.0
100,10,40,300,0.01,0.845970869064331,0.0
100,10,40,300,0.01,0.8436732292175293,0.0
100,10,40,300,0.01,0.8658809661865234,0.0
100,10,40,300,0.01,0.84269118309021,2.72352293138e-06
100,10,40,300,0.01,0.8387675285339355,0.0
100,10,40,300,0.01,0.879967451095581,0.0
100,10,50,300,0.01,0.8528823852539062,0.0
100,10,50,300,0.01,0.8641312122344971,0.0
100,10,50,300,0.01,0.8622360229492188,3.9491082505e-05
100,10,50,300,0.01,0.8483726978302002,0.0
100,10,50,300,0.01,0.8558139801025391,0.0
100,10,50,300,0.01,0.8518762588500977,0.0
100,10,50,300,0.01,0.8743460178375244,0.0
100,10,50,300,0.01,0.8708410263061523,0.0
100,10,50,300,0.01,0.8408937454223633,0.0
100,10,50,300,0.01,0.8335721492767334,0.0
